Sail Number,Start Time,Finish Time,Elapsed Time,Speed (kts),Course Length,Course Angle,Title,First Name,Last Name,Craft Type,Master or Junior,Novice,Professional
678,12:19:45,12:21:29,103.511,10.17,541,69,Mr,Stefan,Cook,Boat,Neither,No,Yes
388,12:35:02,12:36:50,107.544,9.79,541,69,Mr,George,Turpin,Sailboard,Junior,Yes,No
678,12:33:02,12:34:57,114.774,9.17,541,69,Mr,Stefan,Cook,Boat,Neither,No,Yes
668,12:12:08,12:14:07,119.296,8.82,541,69,Mr,william,rowles,Sailboard,Junior,No,No
678,12:47:12,12:49:13,120.342,8.75,541,69,Mr,Stefan,Cook,Boat,Neither,No,Yes
668,12:53:45,12:55:56,130.869,8.04,541,69,Mr,william,rowles,Sailboard,Junior,No,No
131,12:39:50,12:42:19,148.417,7.09,541,69,Mr,Paul,Simmons,Sailboard,Neither,No,Yes
131,12:23:40,12:26:23,163.206,6.45,541,69,Mr,Paul,Simmons,Sailboard,Neither,No,Yes
747,12:21:58,12:25:00,181.347,5.81,541,69,Mr,Simon,White,Sailboard,Master,Yes,No
994,12:13:00,12:16:30,209.722,5.02,541,69,Miss,Amy,Barratt,Sailboard,Junior,No,No
994,12:00:47,12:04:21,214.361,4.91,541,69,Miss,Amy,Barratt,Sailboard,Junior,No,No
598,12:51:00,12:54:46,226.566,4.65,541,69,Mr,Michael,Roberts,Sailboard,Master,No,No
23,12:55:37,12:59:51,253.546,4.15,541,69,Mr,BARRY,MASON,Sailboard,Master,No,No
891,12:25:11,12:29:47,276.197,3.81,541,69,Mr,Sam,Sills,Sailboard,Junior,Yes,No
901,12:14:47,12:19:25,278.132,3.79,541,69,Mr,Richard,Simpson,Sailboard,Junior,No,No
151,12:30:29,12:37:13,404.186,2.60,541,69,Mr,Sam,Latham,Sailboard,Junior,No,No
747,12:21:58,12:30:08,489.556,2.15,541,69,Mr,Simon,White,Sailboard,Master,Yes,No
151,12:09:03,12:18:01,537.908,1.96,541,69,Mr,Sam,Latham,Sailboard,Junior,No,No
891,12:25:11,12:36:38,687.286,1.53,541,69,Mr,Sam,Sills,Sailboard,Junior,Yes,No
151,12:30:29,12:42:00,691.038,1.52,541,69,Mr,Sam,Latham,Sailboard,Junior,No,No
747,12:21:58,12:33:36,697.1,1.51,541,69,Mr,Simon,White,Sailboard,Master,Yes,No
